,fbest,first,freq,sol,time
0,[0.94477496],54,"109.16120694028675, 646.5423480397911, 708.980878052236, 996.207987848128, 1927.2763330292432, 2745.0218531331684",1110001011000110101011110100001010011111,742.6862800121307
1,[1.71833201],100,"113.23031420156045, 645.8483274195363, 719.9174662437324, 1008.1375870798244, 1841.9508396715503, 2714.559605224857",1011001001011010101011101000000111010111,1042.1124367713928
2,[0.94050218],95,"111.14005170221056, 647.1800487859728, 717.9523408235185, 994.9896846767103, 1934.8351945040679, 2756.9247217190896",1110000101110010011110001001001101001010,1162.6070153713226
3,[0.92866459],12,"112.2710826181687, 655.6596455517576, 719.3873849950169, 999.4550271784427, 1926.170685085433, 2729.931808862026",0011010001110010101010111000100001101000,464.4577009677887
4,[2.5477093],100,"108.58215792539573, 651.3801769029214, 795.6892446650082, 1005.6961688536385, 1902.6998408185445, 2750.921715711626",0001010110011101100111010010110011111111,969.8843367099762
5,[0.85293733],27,"108.87414969814755, 651.6801219371214, 720.4046136717329, 986.3205626260923, 1918.2159007342311, 2710.011932654764",0110100100011011101000101100001011101110,571.1512281894684
6,[1.10760325],100,"108.07340207970078, 647.4658996193297, 713.2686409650944, 1018.9899426287355, 1908.3062618069177, 2678.926146080954",0001001111001111110110000100111010010101,1251.9417417049408
7,[1.06923382],100,"110.12416891622429, 639.5591435440115, 720.2639551110648, 1035.9417129938672, 1942.7075872331998, 2764.1502499421877",0001011011110011101000101001110001010010,1086.2886683940887
8,[2.07586494],100,"112.27477140004311, 625.1074545087313, 705.6133998123724, 1025.4106084015018, 1888.8875820058167, 2720.204754191388",1001011001001111101000100001001010101111,1247.4824907779694
9,[1.32571688],100,"110.71595055912302, 638.8242304542197, 721.2176094572992, 1002.27969150603, 1892.7156578759207, 2695.0073593061475",1001010011000111011110001010000111100001,1210.242220878601
10,[2.09497855],100,"102.65133565404935, 652.0446132583752, 721.4562210645398, 1004.5925061576351, 1869.6587648990126, 2686.3077288003233",0001001011100011110110111010110000101001,1162.95468044281
11,[1.94310632],100,"115.77570969679621, 655.9334984593091, 718.5148572809871, 1001.1298831297136, 1987.6572771359258, 2767.937371401872",1010001010101110010100110100100101011110,1121.6693348884583
12,[1.13855537],100,"108.78343397242222, 671.1396188135482, 716.5202556073494, 994.4668977210708, 1939.3224105277154, 2747.075636917855",0010100100110101001110110010001001011100,1277.504135608673
13,[1.78447588],100,"109.0315909508613, 653.2159783260257, 700.1737691190158, 1005.8136585410499, 1978.9962028785899, 2852.0601327702457",1001011001001111100101000100001111111011,975.6483750343323
14,[1.09839425],100,"110.71779227375485, 671.4082896084627, 717.4102152908032, 1018.2124531625142, 1967.5671051021104, 2713.1306112516418",1100100001000110111111110001001010100101,1170.4886984825134
15,[1.48422185],100,"110.95940895966085, 665.8065907215723, 726.137690992999, 987.2686570624868, 1969.8656877586225, 2712.6236089024255",0011100101000110110101001000110001000011,1170.5331537723541
16,[0.98245882],72,"111.07694738582772, 644.9220666589359, 709.305211892212, 1012.5842238310313, 1925.455159666777, 2757.2972651174605",0001000111010110001001000100010011001100,890.3731758594513
17,[2.14408677],100,"117.40228110468884, 636.9393946245076, 705.1740477739116, 1004.9367511487457, 1946.9457429707816, 2734.442647412317",0010101111101011100010010100101011101011,1145.9783539772034
18,[1.58392272],100,"106.46652044561614, 680.4522505526182, 714.2183360999122, 1016.8466484209684, 1929.28945457939, 2706.0328267355676",0110100001101110100110011100001000101100,1117.0945212841034
19,[1.39644253],100,"109.6509643531192, 640.7946434469982, 716.5126549254938, 972.9572679177821, 1930.6786949659727, 2771.2486281948713",0010010110011110001001110011100111000011,1110.3884468078613
20,[0.67202752],37,"108.97244929181619, 647.9871888076523, 705.2033224795365, 1009.5057652789636, 1931.467695249795, 2729.1207275075835",1100001110101101011010010001011001000111,570.5250124931335
21,[0.57585361],10,"109.0426604704609, 650.6420701393613, 727.9276297719825, 1007.3727178527381, 1956.670055866254, 2715.5000346113243",0101001001001111111001000100100101101000,453.48216128349304
22,[1.36153568],100,"110.85071520305841, 654.0319358419905, 716.2916696217384, 1002.3987187705799, 1950.1222119866106, 2850.962624240789",0101010000101011011001010010110010100010,1322.192684173584
23,[0.75243764],28,"109.09857166781408, 658.6088464978998, 731.0816568917131, 1010.3446113207735, 1922.7247762339007, 2719.347923726915",1000011001010111001100011101100001000101,539.017077922821
24,[1.33225627],100,"112.36893531153025, 643.0216213859322, 709.8984875695422, 1022.7759038917309, 1950.6248246618388, 2760.712121057194",0111000101100010101101001000010001100101,1130.8775942325592
25,[1.90632223],100,"117.34727190578043, 650.4168139828091, 714.9464316837549, 1007.54645419628, 1975.5661460826257, 2757.1727833425766",0010101000111101111010100100010110011010,1063.3786220550537
26,[0.72446065],61,"109.45304252038906, 653.8111407186643, 732.8441396265542, 1008.4264927544665, 1952.6793844029594, 2696.905752764038",0011110010111101000100110100111000101101,849.5172281265259
27,[1.48296001],100,"107.64213700633164, 656.8494375029517, 720.4026798027396, 1012.4776522127953, 1903.173052638713, 2836.1486774531627",0100100101101100011001010101001001011000,1126.8015677928925
28,[0.69079763],84,"110.00027022640525, 650.8133450070357, 713.9095399065094, 1008.5954014217352, 1967.5046656131635, 2753.1068105818454",0100101010001111101110100100010011111000,1115.6293778419495
29,[1.1317045],100,"109.37822001519997, 645.2740846100281, 718.1565905292622, 1010.6635887652476, 2029.340986487665, 2745.327273708535",0100100101111110100100010110010110100100,1030.5064680576324
30,[1.22932543],100,"115.96783181951307, 653.1903844590985, 719.2551558158482, 1018.0437716339497, 1929.6990464878352, 2725.9734171013715",1000100011001111110001000010011010011001,1184.3626818656921
31,[1.12917848],100,"108.12856116861714, 674.6264338570129, 709.7782304770175, 1009.8809431225799, 1946.0875263053927, 2719.713972375855",0110000100011111110101000110010010001110,1172.8621923923492
32,[1.65531828],100,"108.53817530333413, 650.1764807035175, 707.2857131296477, 1063.4806658001164, 1937.5968829519322, 2667.7188660258175",1000010011111111111101101000010110101000,967.7421684265137
33,[0.65458903],53,"109.50504319428354, 649.4204292148808, 717.3516016718534, 1001.3955158225127, 1902.9494397769902, 2729.7118941402096",0100101001011001111101110010100101011010,791.0798876285553
34,[0.78741411],91,"109.90814473556038, 646.3548536809653, 716.8376446659142, 1004.4650387825461, 1912.4690014883242, 2748.96755917907",0101001000101101110101100100001011101001,1338.5014607906342
35,[1.77886415],100,"110.77169175577752, 659.1791581694321, 716.679674586028, 966.1706594886069, 1939.7109487193468, 2813.9480619354204",1100101100101111000110111000011011111111,981.9887368679047
36,[1.61832255],100,"114.3010202979979, 632.1509322406524, 725.9655200214447, 1013.4753839358895, 1965.0241505524557, 2726.5387889695694",0100010100101111110001000100010100110001,1192.2328004837036
37,[1.64921837],100,"110.96445392897903, 617.0942256239343, 715.4274044333678, 1024.0151978432903, 1914.4136759311655, 2732.1480614074267",1000100011101101111000100100100110111110,1147.9583621025085
38,[1.18012404],100,"110.69869872580642, 646.1302590699547, 694.0675720034623, 1022.976366820045, 1948.3626966124568, 2713.192696187707",0100100101110110110101001000110010001100,885.4310133457184
39,[0.85458972],41,"111.5782854706627, 653.0876111070388, 727.9314575223116, 1007.8166791265038, 1957.581861945357, 2712.054869196586",1001010011000101110100100001001111000100,764.7026219367981
40,[0.99299488],65,"110.43378343710971, 657.6672420809699, 701.682539807613, 1013.9963644823733, 1913.0556567626113, 2716.755298813869",0010110100101111011101011000111000111000,863.7044794559479
41,[1.83571108],100,"109.86800142510663, 668.1312379118771, 718.6070397519982, 1018.1799878719373, 1796.2622010476923, 2719.708384217205",1100100001100010111001111100010000011110,878.7720713615417
42,[1.49047082],100,"109.00033933743507, 658.1848774952406, 687.4776938567527, 1008.0962542384455, 1912.7563923553535, 2692.762419972655",1100001011011111010010011001010001001100,1297.2433009147644
43,[1.92113597],100,"118.11387913965731, 652.4001650807477, 716.4635136877163, 1013.035402850239, 1988.8382760328263, 2702.6880622874605",0010101110011001101100101100101101001111,1165.9103560447693
44,[2.09879306],100,"120.05564899676592, 652.6530695194054, 719.1968686585169, 1009.8252585315483, 1934.0914425838694, 2779.833240496368",1010001011100111010010010110000100111001,1039.5198123455048
45,[0.53034901],57,"109.50471935105516, 648.5922263820272, 735.6323280117394, 1013.4751340008694, 1936.4480751710214, 2725.9775985891097",1110100001011110010101000010010010111110,887.0923216342926
46,[0.91538054],17,"109.99892311027422, 652.2995971672603, 709.1923548285761, 1032.565331362719, 1936.4827389888815, 2761.4451283048556",1010010011000111100111110010001010011111,448.7353913784027
47,[0.90917473],75,"108.82365149207891, 640.5050243638027, 721.0021064188916, 1012.0316058212419, 1940.0269459220872, 2796.034384494307",1000011011110110100100011001100100101010,923.4977667331696
48,[1.63234868],100,"115.78835493262739, 647.7809523573437, 715.9314058216744, 999.8102884295573, 1936.0300984036553, 2763.8785280304846",0110101001000100111110111000010001101101,1093.6692337989807
49,[1.78432247],100,"111.34024138499798, 623.4804246729457, 690.3016101693988, 1010.9384928610284, 1943.376355175154, 2711.295896881681",0100101111001010111100111000111001010011,1165.3960099220276
