,crossover,errorLimit,f1,fbest,freq,grad,nPop,sol,time
0,NotModalSixPoint,0.1,100,[6.85635221],"79.95088013611253, 298.32094405415063, 503.16603057373857, 598.8000366938228, 900.932962330928, 1158.6883202912804",200,40,1110010111101110111101111000000000000010,3607.950864315033
1,NotModalSixPoint,0.1,100,[9.66442969],"99.90079838597366, 526.1266201285654, 890.4502163181666, 891.4411717376511, 1361.790928051312, 2094.1470488498703",400,40,1111111111111111111111101110011000110010,3609.306836605072
2,NotModalSixPoint,0.1,100,[26.39048724],"92.99212359770226, 570.4800096441378, 832.0939459241293, 859.7496404406246, 1562.4270026283718, 2957.8191494678717",600,40,1111111111111111111111111111111111110010,3609.514657974243
3,NotModalSixPoint,0.1,100,[40.39232406],"98.7617401610449, 562.5882985311551, 858.1912871050332, 908.5425131321131, 1492.2027456848525, 2637.640640794832",800,40,1111111111111111111111011111111011100000,3609.032814025879
4,NotModalSixPoint,0.1,150,[8.82729223],"82.03179880540698, 351.2770976130716, 561.3564283676706, 737.8437580422492, 926.2168192686339, 1162.6224473852515",200,40,1111100110011010101111010010100000000001,3614.100881099701
5,NotModalSixPoint,0.1,150,[16.48120642],"99.38793575759458, 551.759223459271, 861.3285542596801, 912.8088918524544, 1360.427184216119, 2168.1962430419617",400,40,1111111111111111111111111011111100100100,3610.000723361969
6,NotModalSixPoint,0.1,150,[34.95375445],"96.77375711195845, 574.8503815589463, 804.1975017338466, 897.0875347716232, 1490.0940512812242, 2680.813250361399",600,40,1111111111111101111111111111101110110000,3613.2178790569305
7,NotModalSixPoint,0.1,150,[46.45822882],"94.7900439565472, 571.0589363838751, 850.983338581856, 875.6982082734671, 1532.4961619816195, 2873.0830887717407",800,40,1111111111111111111111111111111111100010,3612.5417442321777
8,NotModalSixPoint,0.1,200,[10.65615955],"88.26135359937092, 398.8387308373913, 599.4838771954012, 816.0133288361544, 972.4743413163718, 1235.2447721267574",200,40,1111101110011101110110011001001000001001,3608.342794895172
9,NotModalSixPoint,0.1,200,[20.71923859],"98.82332717427194, 578.213872875198, 828.3640971779561, 909.7691084683756, 1494.1608123091607, 2220.3483593889864",400,40,1111111111111111111111111111101111010000,3613.5342667102814
10,NotModalSixPoint,0.1,200,[37.87432974],"92.99212359770226, 570.4800096441378, 832.0939459241293, 859.7496404406246, 1562.4270026283718, 2957.8191494678717",600,40,1111111111111111111111111111111111110010,3611.275555372238
11,NotModalSixPoint,0.1,200,[50.93759025],"93.99225265871117, 559.3697405644742, 840.0911922324992, 874.4562649334005, 1477.5784972268116, 2842.4970356641124",800,40,1111111111111011111111111111111011100010,3607.6838796138763
12,NotModalSixPoint,0.1,250,[13.17564428],"95.85515227373936, 436.377285100829, 659.8873721159873, 847.1230225092584, 1039.3208961353146, 1393.6499626672442",200,40,1111110111010111101110111100100000010000,3613.0818088054657
13,NotModalSixPoint,0.1,250,[23.90474135],"100.9742603893813, 578.1989780206434, 889.2874128003696, 928.6322015382681, 1459.165206464685, 2241.3763004155676",400,40,1111111111111111111111111111111001100000,3614.6553587913513
14,NotModalSixPoint,0.1,250,[42.0321735],"92.78191275245938, 566.5551604831155, 823.8702938910589, 864.8932692353601, 1511.872777460678, 2859.359299204469",600,40,1111111111111011111111111111111101110100,3609.677758693695
15,NotModalSixPoint,0.1,250,[53.36986732],"95.91463105110864, 549.1452137221777, 858.2057497785632, 883.6399397931484, 1492.2114029624763, 2810.4608958579274",800,40,1111111111111111111111011111111011100100,3609.7315554618835
16,NotModalSixPoint,0.1,300,[14.196864],"92.92059322807445, 475.8322916895339, 698.8620228797719, 886.4641732177065, 1086.1228215615988, 1409.1098168453786",200,40,1111110110011101111111011011001010000000,3609.973141670227
17,NotModalSixPoint,0.1,300,[27.38073049],"99.52970407166396, 585.9943656750983, 871.994087277828, 917.2553791644839, 1492.1437560345296, 2296.99017293867",400,40,1111111111111111111111111111111101100000,3609.6826906204224
18,NotModalSixPoint,0.1,300,[45.43337359],"98.59921686264133, 556.5801050089343, 862.5607671336161, 891.2827440658735, 1461.9060319957591, 2593.812029507835",600,40,1111111111111111111101111111011111100000,3609.9424176216125
19,NotModalSixPoint,0.1,300,[56.08572975],"95.18688456401345, 541.9498074909241, 841.2610229554671, 859.2325669772305, 1481.6196885400072, 2754.415747974204",800,40,1111111111111111111111101110111101110001,3609.2138862609863
20,NotModalSixPoint,0.1,350,[16.47184549],"97.19484350894346, 496.40679336115284, 753.6224359721494, 919.6681317092902, 1145.725914923317, 1522.9259490179338",200,40,1111101111011111101111111101010010000000,3613.939817905426
21,NotModalSixPoint,0.1,350,[30.69376085],"99.52970407166396, 585.9943656750983, 871.994087277828, 917.2553791644839, 1492.1437560345296, 2296.99017293867",400,40,1111111111111111111111111111111101100000,3609.6575920581818
22,NotModalSixPoint,0.1,350,[47.34803998],"90.63185802012576, 552.9265828635711, 813.0722768406108, 860.0199155646004, 1495.8937456824399, 2846.187030744882",600,40,1111101111111111111111111011111111100010,3612.405129432678
23,NotModalSixPoint,0.1,350,[57.35243582],"100.03157226393004, 566.211017745138, 868.3472400509697, 922.3486906064899, 1452.1823270048462, 2570.50507572182",800,40,1111111111111111110111111111011101100000,3611.345365047455
